"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2006,"Agriculture","AG1","Applied Water",29684.7
2006,"Instream Flow Requirements","IFR1","Applied Water",8498.4
2006,"Managed Wetlands","MW1","Applied Water",1544.2
2006,"Required Delta Outflow","RDO1","Applied Water",10127.8
2006,"Wild and Scenic River","WSR1","Applied Water",44838.5
2006,"Urban","URB5","Applied Water - Commercial Use",1259.2
2006,"Urban","URB8","Applied Water - Energy Production",158.4
2006,"Urban","URB9","Applied Water - Groundwater",536
2006,"Agriculture","AG2","Applied Water - Groundwater Recharge",821.6
2006,"Urban","URB6","Applied Water - Industrial Use",563.6
2006,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",536.9
2006,"Urban","URB3","Applied Water - Residential - Multi Family Interior",872.5
2006,"Urban","URB2","Applied Water - Residential - Single Family Exterior",2506.9
2006,"Urban","URB1","Applied Water - Residential - Single Family Interior",1931
2006,"Urban","URB7","Applied Water - Urban Large Landscape",902.2
2006,"Agriculture","AWUAG","Applied Water Use",30506.3
2006,"Instream Flow Requirements","AWUIFR","Applied Water Use",8498.4
2006,"Managed Wetlands","AWUMW","Applied Water Use",1544.2
2006,"Required Delta Outflow","AWURDO","Applied Water Use",10127.8
2006,"Urban","AWUURB","Applied Water Use",9266.7
2006,"Wild and Scenic River","AWUWSR","Applied Water Use",44838.5
2006,"Agriculture","AWUAGC","Conveyance Applied Water Use",2832.1
2006,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",78
2006,"Urban","AWUURBC","Conveyance Applied Water Use",204.7
2006,"Agriculture","AG22","Conveyance Deep Percolation",845.5
2006,"Managed Wetlands","MW20","Conveyance Deep Percolation",20.7
2006,"Urban","URB30","Conveyance Deep Percolation",16.2
2006,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2006,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2006,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2006,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2006,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2006,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2006,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2006,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2006,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2006,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",6.8
2006,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0.1
2006,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",1.6
2006,"Agriculture","DEPAGC","Conveyance Depletion",1036.4
2006,"Managed Wetlands","DEPMWC","Conveyance Depletion",1.4
2006,"Urban","DEPURBC","Conveyance Depletion",182.3
2006,"Agriculture","AG17","Conveyance Evaporation and ETAW",1026.5
2006,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",1.3
2006,"Urban","URB25","Conveyance Evaporation and ETAW",180.7
2006,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1379.4
2006,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",32.1
2006,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",188.5
2006,"Agriculture","NW2AGC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1379.4
2006,"Managed Wetlands","NW2MWC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",32.1
2006,"Urban","NW2URBC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",188.5
2006,"Agriculture","AG19B","Conveyance Return Flow for Delta Outflow",0
2006,"Managed Wetlands","MW17B","Conveyance Return Flow for Delta Outflow",0
2006,"Urban","URB27B","Conveyance Return Flow for Delta Outflow",0
2006,"Agriculture","AG20A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",203.2
2006,"Managed Wetlands","MW18A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",17.7
2006,"Urban","URB28A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",6
2006,"Agriculture","AG20B","Conveyance Return Flow to Developed Supply (Other PA)",131.9
2006,"Managed Wetlands","MW18B","Conveyance Return Flow to Developed Supply (Other PA)",13
2006,"Urban","URB28B","Conveyance Return Flow to Developed Supply (Other PA)",0
2006,"Agriculture","AG20C","Conveyance Return Flow to Developed Supply (Other Region)",7.9
2006,"Managed Wetlands","MW18C","Conveyance Return Flow to Developed Supply (Other Region)",0
2006,"Urban","URB28C","Conveyance Return Flow to Developed Supply (Other Region)",0.2
2006,"Agriculture","AG18C","Conveyance Return Flow to Mexico",0
2006,"Managed Wetlands","MW16C","Conveyance Return Flow to Mexico",0
