pws_id,mean_lot_size,median_lot_size
1010001,0.3661071862655375,0.17727603305785122
1010003,0.28436378549840863,0.1446517906336088
1010004,0.40866082014630206,0.13518062442607898
1010007,0.5454189130059125,0.127435261707989
1010018,0.6732543105170644,0.14059894398530762
1010019,0.8286860423360513,0.15052075298438936
1010024,0.6981708875757262,0.14309825528007347
1010027,0.19817989574957068,0.14672956841138657
1010029,1.0337297407549306,0.14411786042240587
110001,0.5008464369455179,0.11341717171717171
110003,0.3169975673965096,0.13274095500459138
110005,1.5258100918210602,0.09870348943985308
110006,0.3936034375295186,0.10567998163452708
110008,0.7510745832567679,0.13141707988980716
110009,0.75507593753611,0.11522075298438936
110011,0.4214329542144778,0.13567796143250688
1110002,0.1986503320880033,0.13310371900826445
1110003,0.23626429522041306,0.15071239669421488
1210001,0.3416820523879752,0.14052800734618917
1210004,0.13222078491188127,0.11466712580348945
1210006,0.2938736929077838,0.14881083562901748
1210009,0.2892020745546659,0.1446786042240588
1210013,0.3277791301674165,0.1365977961432507
1210016,0.32267734520736235,0.17950183654729107
1210021,1.0115130645295936,0.5595270890725436
1310001,0.14799026502985446,0.14273507805325988
1310003,0.1991021012261654,0.1814097337006428
1310004,0.15337097725964308,0.14526345270890728
1310011,0.31614251606978877,0.35297318640955
1500333,0.49454604486422665,0.4872727272727273
1500374,2.3372620687393413,2.458677685950413
1500407,0.7939787318485316,0.4735537190082645
1510001,0.25907221577991785,0.12276859504132231
1510003,0.615663926960594,0.1366574839302112
1510005,0.17200350852239565,0.12050045913682277
1510006,0.27408338181579806,0.14807621671258037
1510012,0.21930816112306498,0.13373737373737374
1510015,0.19151712439959645,0.12831267217630854
1510017,0.4408227284650661,0.15165977961432506
1510018,0.4592658123363688,0.12460055096418733
1510019,0.39469407323688727,0.1431404958677686
1510020,0.2594742706483168,0.14323232323232324
1510021,0.26212911141651146,0.13201561065197429
1510022,0.6823461446893896,0.13192378328741966
1510024,0.23978815277380358,0.1351836547291093
1510026,0.8458720833748216,0.6119329660238751
1510029,0.4310112827358131,0.20401285583103765
1510031,0.23222069033924794,0.14502295684113867
1510032,0.3707026446713606,0.19134986225895317
1510033,0.7507461394369308,0.1846556473829201
1510039,0.2811521496889219,0.14694214876033057
1510043,0.4572299400935765,0.26181818181818184
1510049,0.27088738854014566,0.13998163452708906
1510055,0.30035771333355027,0.19966483011937558
1510056,0.24397535965717784,0.15574609733700642
1610003,0.19794598307503944,0.14461928374655647
1610004,0.359576711655632,0.15673535353535353
1710002,0.14958103764921948,0.12058999081726356
1710005,0.15464402982998027,0.12239898989898991
1810001,0.2978321065802754,0.15414178145087237
1910001,0.2405295300847981,0.12594655647382919
1910003,0.288406526969484,0.16981331496786042
1910004,0.1705393792591824,0.09359591368227732
1910007,0.31126128120662677,0.1278605142332415
1910009,0.2331960446153409,0.11951887052341598
1910010,0.1742975624008682,0.14853131313131313
1910011,0.1383344944453361,0.11223815426997244
1910013,0.20261923732815354,0.11351280991735538
1910017,0.9086400170063361,0.1346536271808999
1910019,0.1568711624527345,0.09484481175390266
1910021,0.11967480036160344,0.10239958677685951
1910024,0.22744194950576826,0.1899669421487603
1910026,0.1273169030959885,0.10537364554637282
1910028,0.2270046915932247,0.13545573921028464
1910030,0.8922444913655956,0.10501092745638199
1910033,0.2794661960192799,0.09675840220385676
1910034,0.1588291865184999,0.11594242424242424
1910036,0.1262758740874137,0.097877318640955
1910038,0.17487080065822616,0.12063774104683195
1910039,0.24522523201644988,0.12513980716253442
1910040,0.29239950463370856,0.11211216712580349
1910042,0.1873353950603891,0.1060382920110193
1910043,0.2399633807152347,0.1432050505050505
1910044,0.2510038366006231,0.1681362718089991
1910047,0.11589104106208319,0.09757741046831955
1910048,0.9089500927849806,0.13466189164370984
1910049,0.13262152498942748,0.10367180899908174
1910051,0.22433703941060376,0.11105335169880624
1910052,0.17795087619118916,0.11845472910927457
1910062,0.20438496262813807,0.14876776859504132
1910063,0.2071467034458,0.1516880624426079
1910065,0.30179997619731336,0.10166051423324152
1910067,0.31258343857951426,0.1264471992653811
1910070,0.263555853246405,0.1371564738292011
1910072,0.14665868043245955,0.10253498622589532
1910073,0.2349145134763485,0.11444573002754821
1910077,0.10617422594741743,0.09490404040404041
1910079,0.12626966136821252,0.11217777777777779
1910083,0.11224991302066402,0.07500743801652893
1910090,0.20992335283560104,0.14284279155188245
1910091,0.2588415980191416,0.12083287419651056
1910092,0.18667571711739883,0.1285214416896235
1910096,0.9122970127440612,0.13469894398530763
1910098,0.160466789181688,0.10009632690541781
1910101,0.16488008487954084,0.11818365472910926
1910102,0.22727654292895025,0.13331634527089073
1910104,0.5154944519473044,0.19560798898071624
1910105,0.31289447391706643,0.10761955922865014
1910124,0.29054092731280173,0.1559505509641873
1910125,0.1591717405913609,0.10429003673094582
1910126,0.19287011678529659,0.13795032139577595
1910127,0.21980541772790022,0.14618503213957762
1910130,0.3147436330275385,0.1679509641873278
1910134,0.2265405839601064,0.10192249770431588
1910139,0.24038919156392466,0.14537199265381084
1910140,0.22082091083298705,0.16502598714416897
1910142,0.3149186297029276,0.15237488521579431
1910143,0.21182526586087028,0.12965463728191
1910144,0.19737308011768806,0.13666574839302112
1910146,0.1923881305112632,0.13017052341597796
1910148,0.2553349293144634,0.17282695133149678
1910149,0.540834843711353,0.10974113865932048
1910152,0.11612593519503639,0.1012739210284665
1910155,0.15954928682292835,0.10279651056014691
1910156,0.39810725576490286,0.15093709825528007
1910157,0.16609119851351445,0.13449485766758495
1910161,0.1281173228924217,0.10871349862258953
1910166,0.31200916786478416,0.19660348943985306
1910167,0.14586191290696005,0.10246271808999081
1910173,0.3620744616052955,0.13654003673094584
1910174,0.18558173316539034,0.12196675849403124
1910179,0.17619782050803837,0.12324095500459135
1910186,0.22154462818999102,0.12929540863177227
1910191,0.13797507427974331,0.09609719926538109
1910194,0.25462430383560297,0.1319574839302112
1910195,0.2185931672092829,0.1077481634527089
1910203,0.8981751638863381,0.8715859963269055
1910204,0.8267214389640167,0.20193287419651057
1910205,0.28158648168494443,0.14315936639118457
1910211,0.15951496740160245,0.09694940312213039
1910212,0.22532541644333087,0.12902015610651976
1910213,0.17883641083495108,0.10303269054178144
1910223,0.30059803464979623,0.1295435261707989
1910225,0.8080884559137603,0.17506611570247932
1910234,0.4838764497670286,0.17712626262626263
1910239,0.1354048807557508,0.09371680440771349
1910240,0.9122970127440612,0.13469894398530763
1910241,0.19628669703571663,0.1371629017447199
1910242,0.2740689072543618,0.10087061524334251
1910243,2.1518739669421487,2.1518739669421487
1910245,0.20275814545448623,0.10735243342516071
1910247,0.9122970127440612,0.13469894398530763
1910250,0.7583480709101781,0.17043939393939395
1910255,0.11188511376390164,0.1138633608815427
2010001,1.4274622059485187,0.14325298438934803
2010002,2.3111450830365947,0.12911483011937558
2010009,0.6086096099616409,0.4577823691460055
2110002,0.21700645960567697,0.1428368227731864
2110003,0.27911598564332074,0.16217154882154883
2110006,1.9597159932659933,0.9691919191919192
2110007,0.1238761049892868,0.15023347107438018
2310003,0.20356425912703313,0.12139577594123048
2410001,1.5014104891316842,0.13442607897153352
2410004,0.23350359469812915,0.12002295684113867
2410005,3.364695552556191,0.12538108356290176
2410008,1.4561633041630402,0.1590633608815427
2410009,1.2345033442935434,0.13184573002754824
2610001,0.17839484032572875,0.15605907560453014
2701202,0.11027913865932047,0.09393246097337006
2701257,NA,NA
2701466,2.3133226584022037,2.8554224058769515
2701882,0.8611396354786994,0.5489947199265381
2701929,NA,NA
2702004,0.49029648760330574,0.3601916896235078
2710001,0.1655593508127513,0.10935394857667585
2710004,0.3959698191176993,0.11847511478420569
2710006,0.6849891674489947,0.23567805325987146
2710008,3.5011340849826,0.11561414141414142
2710009,0.14575478664129932,0.11574618916437099
2710010,0.237271162634792,0.11359100091827364
2710011,0.1363957147708516,0.11414343434343435
2710012,4.395043909557157,0.18547277318640956
2710013,0.7808951142760701,0.3152295684113866
2710017,6.318196017134859,0.1364540863177227
2710019,0.8363996355970459,0.2812346648301194
2710021,1.6999494144549192,0.9703475665748393
2710022,2.568427606214497,1.849395087235996
2810003,0.4406880333153096,0.12667033976124886
2810005,0.2303712571102689,0.1206809917355372
2910003,0.448457690938948,0.28192148760330576
2910004,0.8803084905853904,0.2788292011019283
2910006,1.3036831723453723,0.5862075298438935
2910010,0.5811510942760942,0.40963154269972446
2910014,0.71846421619316,0.3244903581267218
2910023,0.44314670918377796,0.3101469237832874
3010001,0.45123687437833204,0.13261101928374655
3010002,0.185116638366163,0.1326238751147842
3010003,0.14851089831010603,0.1145358126721763
3010004,0.440402533959452,0.12221943679216406
3010010,0.4869397912930632,0.13840284664830121
3010017,0.11729255393668453,0.09544536271809
3010018,0.5718933816821279,0.13121910009182738
3010022,0.14868058996484265,0.11359531680440771
3010023,0.20666109560948304,0.08442947658402203
3010027,0.5545887813640296,0.13707070707070707
3010030,0.5614637461418911,0.12322846648301193
3010035,0.14421584644196525,0.13026666666666667
3010036,0.23118016199136548,0.11115950413223141
3010037,0.24150323055129458,0.16583627180899907
3010038,1.1402976167467276,0.11936694214876033
3010041,0.17808659810793584,0.08560752984389348
3010042,0.20308168542154556,0.10741262626262627
3010046,0.7851711618412687,0.16409866850321397
3010047,0.4227354929811399,0.3640203856749311
3010053,0.2416565000397133,0.10923351698806244
3010062,0.3554856409371135,0.13775179063360882
3010064,0.17170681216052405,0.12080238751147843
3010068,0.7082884993013456,0.2863971533516988
3010069,0.1365722917711186,0.1283200183654729
3010073,0.26130397897550534,0.13492364554637282
3010079,3.496559330351845,0.11303397612488521
3010092,0.4360243196919482,0.09304761248852159
3010094,0.25433162155465183,0.112955463728191
3010100,0.0804023569023569,0.08662460973370065
3010101,0.18677316423088608,0.10076588613406795
310002,0.8133587525503653,0.1528053259871442
310003,2.3006397426213807,0.35874655647382925
310012,1.4459946751327017,0.8169214876033057
310019,1.012660997325029,0.6347382920110193
310021,0.8097311843272361,0.4725321395775941
3110001,62.043207682889516,0.13030091827364557
3110004,0.17292510616086007,0.11995371900826446
3110005,0.6703539942420507,0.2089297520661157
3110006,0.7437038005255636,0.3300450872359963
3110008,2.408579204153848,0.1330364554637282
3110010,18.56456489160818,0.20377998163452707
3110011,0.2353257116620753,0.2271710743801653
3110013,0.16624204929608258,0.12279797979797978
3110023,0.27148353229262323,0.2529901744719927
3110024,2.415896008570554,2.1647382920110196
3110025,0.5514605750451564,0.16456464646464647
3110026,0.5353281440496387,0.19595794306703399
3110036,275.25759931486584,0.23790968778696053
3110043,0.6958762167125804,0.6958762167125804
3110044,0.25810080195898377,0.26516336088154274
3110050,1.0150267676767677,1.0150267676767677
3110124,NA,NA
3110150,2.1011468233471073,2.011753902662994
3310001,1.1555766651459105,0.12487603305785125
3310002,0.2806376653497684,0.13117079889807162
3310005,0.845781993116777,0.13575757575757577
3310006,1.0143487729416993,0.12868686868686868
3310007,0.2161022907358318,0.12276170798898071
3310008,1.543329271390417,0.14202249770431588
3310009,1.5786999412362592,0.13914600550964187
3310012,0.3773532468342521,0.14694214876033057
3310016,2.2610459980105566,0.10763085399449038
3310020,0.8890537286047501,0.12973829201101927
3310021,0.8275903299059232,0.15154040404040403
3310022,0.5305552312778117,0.15196969696969698
